reviewId,sentenceId,text,aspect_term,polarity
_1,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",place,-1
_2,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,-1
_3,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,food,-1
_4,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,portions,-1
_5,1004293:5,Avoid this place!,place,-1
_6,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,1
_7,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,1
_8,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,foie gras terrine with figs,1
_9,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,1
_10,1014458:3,The wine list is interesting and has many good values.,wine list,1
_11,1014458:3,The wine list is interesting and has many good values.,wine list,1
_12,1016296:0,I was very disappointed with this restaurant.,restaurant,-1
_13,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,-1
_14,1016296:3,"Food was okay, nothing great.",Food,0
_15,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Chow fun,-1
_16,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,pork shu mai,-1
_17,1016296:5,I/we will never go back to this place again.,place,-1
_18,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,1
_19,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,1
_20,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",oysters,1
_21,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,1
_22,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,1
_23,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,1
_24,1032695:2,I had the duck breast special on my last visit and it was incredible.,duck breast special,1
_25,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",food,-1
_26,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",Thai fusion stuff,-1
_27,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,1
_28,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,1
_29,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,1
_30,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",place,-1
_31,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",decor,1
_32,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",vent,-1
_33,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",sake list,1
_34,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",spicy tuna roll,1
_35,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",rock shrimp tempura,1
